o_orderkey,o_custkey,o_totalprice,o_orderdate
37377,887,236794.9,1992-01-21
38690,502,78082.71,1992-01-21
11428,440,11493.97,1992-01-22
9761,302,82550.77,1992-01-23
19715,733,29240.01,1992-01-23
28582,842,112240.08,1992-01-23
30629,673,130592.41,1992-01-23
2688,682,209509.84,1992-01-24
6373,271,142649.7,1992-01-24
28902,272,216584.88,1992-01-24
36000,745,15049.18,1992-01-24
26053,598,162287.63,1992-01-25
15073,52,68268.96,1992-01-26
15554,31,95883.87,1992-01-26
26759,29,225943.06,1992-01-26
37892,788,21212.31,1992-01-26
15940,479,97186.91,1992-01-27
28129,694,167719.42,1992-01-27
32966,704,254452.12,1992-01-27
4804,250,165809.26,1992-01-28
18886,130,244606.26,1992-01-28
31170,445,103381.65,1992-01-28
36418,1043,70429.29,1992-01-28
8070,701,336989.3,1992-01-29
36484,344,221691.44,1992-01-29
3168,952,94873.02,1992-01-30
15557,674,82029.79,1992-01-30
37347,262,186870.17,1992-01-30
9253,572,254923.93,1992-01-31
9925,37,252678.58,1992-01-31
20003,814,164802.75,1992-01-31
30949,752,125684.91,1992-01-31
12644,811,122051.64,1992-02-01
20256,343,49829.34,1992-02-01
30113,82,26186.11,1992-02-01
6757,667,261369.27,1992-02-02
20417,694,57221.24,1992-02-02
34470,172,153827.25,1992-02-02
8832,358,99347.91,1992-02-03
15943,133,53569.31,1992-02-03
22916,322,18074.16,1992-02-03
32513,581,142436.52,1992-02-03
34912,1030,28086,1992-02-03
39813,784,77604.49,1992-02-03
8067,34,93199.29,1992-02-04
7072,775,62109.3,1992-02-05
16996,800,99862.23,1992-02-05
38597,292,174082.15,1992-02-05
16548,7,113674.48,1992-02-06
17635,430,316254.5,1992-02-06
21537,601,52403.38,1992-02-06
34083,622,184881.6,1992-02-06
2755,824,157162.08,1992-02-07
16866,829,87803.14,1992-02-07
24448,958,226185.23,1992-02-07
31525,169,7872.39,1992-02-07
33603,28,53718.67,1992-02-07
37444,595,71989.05,1992-02-07
8224,26,98530.8,1992-02-08
11683,148,208303.79,1992-02-08
16580,167,251019.62,1992-02-08
27909,268,149811.89,1992-02-08
28390,733,167992.02,1992-02-08
34117,881,216102.12,1992-02-08
23140,298,275795.47,1992-02-09
27109,215,62349.75,1992-02-09
27557,133,222820.88,1992-02-09
28198,121,203548.54,1992-02-09
37763,1022,163320.86,1992-02-09
4162,149,107696.68,1992-02-10
11239,332,288426.95,1992-02-10
29507,187,128852.57,1992-02-10
10917,176,133553.02,1992-02-11
30599,361,37269.67,1992-02-11
33414,898,105356.86,1992-02-11
35492,866,217052.59,1992-02-11
8007,166,235642.3,1992-02-12
13157,460,240634.73,1992-02-12
14625,752,3421.63,1992-02-12
17093,163,155608.97,1992-02-12
18500,62,132532.15,1992-02-12
4199,29,37484.36,1992-02-13
10593,787,195185.2,1992-02-13
14272,943,93921.82,1992-02-13
26151,902,184039.55,1992-02-13
38661,1049,230446.36,1992-02-13
8772,199,19233.29,1992-02-14
13700,745,19376.23,1992-02-14
31168,706,128327.88,1992-02-14
33184,560,73427.69,1992-02-14
33507,109,131888.82,1992-02-14
34211,676,136611.53,1992-02-14
38500,694,64055.97,1992-02-14
1154,247,197391.97,1992-02-15
1537,754,119149.47,1992-02-15
11267,385,43511.58,1992-02-15
20962,320,210534.39,1992-02-15
7587,160,26702.3,1992-02-16
29473,1028,176524.07,1992-02-16
32292,400,287000.68,1992-02-16
35846,140,52148,1992-02-16
38052,421,37327.54,1992-02-16
14212,565,152151.78,1992-02-17
17607,727,43174.82,1992-02-17
24487,583,80989.97,1992-02-17
25570,274,88459.75,1992-02-17
30694,85,15376.26,1992-02-17
31106,454,219787.98,1992-02-17
801,826,169057.39,1992-02-18
4391,265,53612.67,1992-02-18
14240,482,273409.02,1992-02-18
24775,424,74641.88,1992-02-18
4035,815,29905.78,1992-02-19
7299,959,84939.29,1992-02-19
12418,910,136074.76,1992-02-19
32192,235,186146.92,1992-02-19
37123,22,147015.5,1992-02-19
37445,331,124110.23,1992-02-19
1057,532,134796.53,1992-02-20
5860,88,12503.46,1992-02-20
12711,59,108664.19,1992-02-20
26309,958,217388.27,1992-02-20
35905,842,187778.64,1992-02-20
39075,941,188946.98,1992-02-20
6,391,65878.93,1992-02-21
20803,37,88507.29,1992-02-21
25255,343,157335.82,1992-02-21
421,275,1922,1992-02-22
17285,404,114548.59,1992-02-22
17602,269,30930.44,1992-02-22
37797,868,123255.97,1992-02-23
8388,614,205360.97,1992-02-24
9281,632,207873.7,1992-02-24
19623,149,253432.4,1992-02-24
35392,845,43047.37,1992-02-24
6338,1036,138373.38,1992-02-25
11776,271,66095.29,1992-02-25
13668,616,177329.15,1992-02-25
25314,244,309520.95,1992-02-25
27171,472,191009.39,1992-02-25
39873,226,38579.22,1992-02-25
16455,970,61195.02,1992-02-26
25637,214,125760,1992-02-26
31622,530,83653.83,1992-02-26
38086,671,78540.59,1992-02-26
37986,448,139416.95,1992-02-27
7653,913,147121.51,1992-02-28
18950,833,30100.62,1992-02-28
28998,718,2271.85,1992-02-28
1282,812,71004.75,1992-02-29
19332,892,229834.38,1992-02-29
36257,91,89624.48,1992-02-29
16740,190,72410.59,1992-03-01
6436,733,14836.62,1992-03-02
8035,638,179518.6,1992-03-02
12739,541,38553.36,1992-03-02
27045,622,236664.06,1992-03-02
33606,457,48077.2,1992-03-02
34405,577,112182.59,1992-03-02
384,793,161767.81,1992-03-03
6944,481,6195.36,1992-03-03
13666,311,48177.03,1992-03-03
17088,832,12789.07,1992-03-03
21478,743,333026.13,1992-03-03
27392,238,179733.05,1992-03-03
4230,977,295115.13,1992-03-04
25767,377,269715.87,1992-03-04
32902,1018,172091.98,1992-03-04
35968,503,231578.75,1992-03-04
1925,118,210111.74,1992-03-05
34563,466,234930.56,1992-03-05
37188,977,150296.1,1992-03-05
2240,388,222691.93,1992-03-06
15173,419,166219.4,1992-03-06
24677,71,42771.29,1992-03-06
4483,353,149641.84,1992-03-07
13991,844,241639.11,1992-03-07
15044,775,88184.53,1992-03-07
15492,689,57591.35,1992-03-07
34276,398,58609.09,1992-03-07
36612,505,108004.59,1992-03-07
10598,323,17928.85,1992-03-08
21543,184,146630.34,1992-03-08
31523,439,95031.71,1992-03-09
2848,482,170304.25,1992-03-10
5574,187,174126.63,1992-03-10
22085,82,138212.52,1992-03-10
7174,902,73856.29,1992-03-11
16804,911,109017.85,1992-03-11
20645,421,18141.67,1992-03-11
24707,995,155450.22,1992-03-11
2912,646,46822.73,1992-03-12
31269,520,60901.53,1992-03-12
17152,607,140822.24,1992-03-13
23584,794,128745.95,1992-03-13
32067,623,216058.82,1992-03-13
38465,731,45782.3,1992-03-13
13024,464,51077.06,1992-03-14
20194,866,128461.77,1992-03-14
29607,347,113913.49,1992-03-14
35173,235,200542.33,1992-03-14
37605,812,157341.12,1992-03-14
2022,433,276161.14,1992-03-15
2880,56,208527.66,1992-03-15
14784,725,207303.98,1992-03-15
27490,868,172248.22,1992-03-15
15367,14,15483.47,1992-03-16
17571,250,325733.84,1992-03-16
19207,68,183208.05,1992-03-16
21223,287,204852.1,1992-03-16
21607,758,83345.04,1992-03-16
4515,979,210219.05,1992-03-17
18112,769,149081.82,1992-03-17
11202,818,169328.72,1992-03-18
24672,578,248409.13,1992-03-18
322,935,145855.15,1992-03-19
8771,850,79331.8,1992-03-19
10531,40,177768.5,1992-03-19
11393,805,142003.64,1992-03-19
21126,796,91531.94,1992-03-19
26660,683,107758.77,1992-03-19
27076,436,124717.37,1992-03-19
324,737,31709.02,1992-03-20
1856,731,270457.2,1992-03-20
24865,349,247027.12,1992-03-20
11328,326,17131.69,1992-03-21
12386,298,273087.5,1992-03-21
26535,212,178033.06,1992-03-21
30051,164,97724.11,1992-03-21
2786,553,214565.84,1992-03-22
4705,685,242539.62,1992-03-22
4903,644,54146.49,1992-03-22
31586,523,253104.25,1992-03-22
9826,490,123827.89,1992-03-23
11301,952,166242.1,1992-03-23
17893,940,44357.08,1992-03-23
29926,904,61082.5,1992-03-23
2627,1039,47194.76,1992-03-24
3973,713,128112.09,1992-03-24
7941,952,89325.4,1992-03-24
12352,1027,302727.14,1992-03-24
15616,10,147500.14,1992-03-24
29921,1021,49890.86,1992-03-24
38853,554,206832.61,1992-03-24
39655,190,191965.11,1992-03-24
1764,197,74096.85,1992-03-25
5473,449,79759.1,1992-03-25
9794,355,233700.67,1992-03-25
16390,574,10334.16,1992-03-25
24770,1006,51863.1,1992-03-25
9541,419,112363.76,1992-03-26
11045,389,227769.86,1992-03-26
33252,706,324783.83,1992-03-26
3970,526,187939.21,1992-03-27
6950,884,21451.76,1992-03-27
10343,64,37963.65,1992-03-27
24546,232,289855.29,1992-03-27
5953,40,124702.37,1992-03-28
9990,274,69423.56,1992-03-28
11330,197,3440.8,1992-03-28
19009,694,3550.11,1992-03-28
20995,97,120227.05,1992-03-28
35814,155,230623.92,1992-03-28
10439,658,240008.24,1992-03-29
18464,919,154018.82,1992-03-29
22373,367,263354.8,1992-03-29
22466,2,133850.18,1992-03-29
26979,37,229692.06,1992-03-29
29280,979,194845.49,1992-03-29
34279,485,266459.41,1992-03-29
36512,700,326390.58,1992-03-29
1894,526,44844.33,1992-03-30
9186,320,149797.73,1992-03-30
10567,229,77981.37,1992-03-30
11303,271,92515.38,1992-03-30
15104,772,38189.28,1992-03-30
26338,305,154544.02,1992-03-30
29831,832,175574.04,1992-03-30
32642,866,22954.95,1992-03-30
9575,640,20517.71,1992-03-31
11173,223,157804.74,1992-03-31
15782,388,196345.83,1992-03-31
20964,7,259763.65,1992-03-31
37124,872,133608.89,1992-03-31
37895,119,72546.06,1992-03-31
17281,727,127891.3,1992-04-01
28835,107,104591.97,1992-04-01
33284,1009,95040.64,1992-04-01
8546,77,133839.57,1992-04-02
18208,619,304854.5,1992-04-02
21604,823,202651.94,1992-04-02
24071,179,57285.22,1992-04-02
14177,395,100205.05,1992-04-03
19301,65,116773.08,1992-04-03
35045,488,145439.1,1992-04-03
3681,362,60049,1992-04-04
9793,838,97991.61,1992-04-04
13633,961,176764.75,1992-04-04
18756,1039,10231.34,1992-04-04
32993,800,92669.41,1992-04-04
33605,286,130636.29,1992-04-04
194,433,115876.48,1992-04-05
4256,826,20936.62,1992-04-05
7458,922,94611.07,1992-04-05
15142,103,74239.79,1992-04-05
22883,223,21748.89,1992-04-05
8005,166,287541.99,1992-04-06
17986,472,183899,1992-04-06
21856,359,119536.89,1992-04-06
21888,202,99358.7,1992-04-06
28868,121,160024.15,1992-04-06
29024,838,128817.73,1992-04-06
29411,437,329268.42,1992-04-07
39143,628,104636.48,1992-04-07
4738,29,199513.13,1992-04-08
25793,755,114144.69,1992-04-08
39203,514,48382.89,1992-04-08
2689,710,43159.85,1992-04-09
3140,1015,81099.09,1992-04-09
3842,188,177734.27,1992-04-09
21605,499,172824.98,1992-04-09
15236,553,161732.39,1992-04-10
15687,37,210882.7,1992-04-10
16193,373,223660.83,1992-04-10
36132,274,139891.83,1992-04-10
3205,1024,212861.03,1992-04-11
13894,872,123804.15,1992-04-11
27939,742,162663.45,1992-04-11
33409,73,20360.18,1992-04-11
19044,22,179061.42,1992-04-12
2052,626,218470.85,1992-04-13
18373,145,11875.85,1992-04-13
8450,725,48317.99,1992-04-14
13216,754,66384.82,1992-04-14
17702,481,242017.6,1992-04-14
24066,277,245561.04,1992-04-14
24101,901,135511.64,1992-04-14
28710,281,54296.52,1992-04-14
39876,166,91155.49,1992-04-14
8609,881,127927.64,1992-04-15
10756,760,65854.2,1992-04-15
12133,253,35547.67,1992-04-15
38310,548,79316.37,1992-04-15
1344,119,59679.99,1992-04-16
1826,571,195546.15,1992-04-16
15013,952,56085.52,1992-04-16
20615,217,165770.14,1992-04-16
28871,904,137028.86,1992-04-16
5028,82,35018.54,1992-04-17
21638,871,57474.97,1992-04-17
30305,988,133580.41,1992-04-17
21253,1027,175151.05,1992-04-18
22688,962,119105.55,1992-04-18
24098,469,190767.98,1992-04-18
25895,550,138020.14,1992-04-18
832,203,103475.51,1992-04-19
1221,94,178742.38,1992-04-19
32386,289,49937.92,1992-04-19
35040,341,140013.78,1992-04-19
38242,140,258664.37,1992-04-19
1955,85,127620.76,1992-04-20
15683,196,73078.7,1992-04-20
26980,986,105006.91,1992-04-21
5095,667,236335.29,1992-04-22
5986,802,131008.87,1992-04-22
8390,470,79511.84,1992-04-22
11810,454,67119.49,1992-04-23
13281,1036,127786.1,1992-04-23
21030,214,156876.75,1992-04-23
25606,455,34341.65,1992-04-23
35104,346,281732.44,1992-04-23
39300,133,186431.16,1992-04-23
22183,160,311461.57,1992-04-24
24706,41,30900.35,1992-04-24
3043,304,101671.98,1992-04-25
4805,106,195696.09,1992-04-25
7747,254,40718.92,1992-04-25
8033,98,72772.99,1992-04-25
9828,914,257335.36,1992-04-25
12931,542,72494.13,1992-04-25
23172,457,76447.63,1992-04-25
24291,812,220619.31,1992-04-25
25478,325,108987.21,1992-04-25
32032,346,32427.18,1992-04-25
737,838,14089.82,1992-04-26
1217,46,56150.89,1992-04-26
3845,622,175098.09,1992-04-26
5190,406,131716.78,1992-04-26
16711,1042,218579,1992-04-26
21573,223,208563.04,1992-04-26
22754,659,51470.55,1992-04-26
29188,50,50602.65,1992-04-26
29861,145,75740.75,1992-04-26
21415,553,78733.45,1992-04-27
23009,889,108760.11,1992-04-27
23111,67,200661.19,1992-04-27
30310,940,120492.5,1992-04-27
13892,709,187709.61,1992-04-28
15329,418,91404.17,1992-04-28
26912,622,18775.62,1992-04-28
33159,574,72917.07,1992-04-28
33378,620,343454.77,1992-04-28
33670,850,217777.99,1992-04-28
38498,829,135087.09,1992-04-28
5767,823,154206.72,1992-04-29
6949,518,147958.81,1992-04-29
16448,143,100777.97,1992-04-29
21860,424,210402.41,1992-04-29
22497,530,209760.45,1992-04-29
26982,43,265689.32,1992-04-29
30405,445,8671.48,1992-04-29
2691,43,36409.35,1992-04-30
10150,928,276987.93,1992-04-30
22726,587,35413.86,1992-04-30
24643,161,37639.43,1992-04-30
28742,992,115516.63,1992-04-30
34086,157,30696.61,1992-04-30
36103,632,150936.93,1992-04-30
38279,472,182408.6,1992-04-30
134,44,163230.94,1992-05-01
644,52,311860.02,1992-05-01
16482,427,42809.67,1992-05-01
9952,365,76386.81,1992-05-02
19366,809,134421.58,1992-05-02
19520,172,49250.22,1992-05-02
21410,1049,46733.83,1992-05-02
30307,718,102932.21,1992-05-02
3524,655,24614.38,1992-05-03
7488,715,137303.11,1992-05-04
18917,625,25754.5,1992-05-04
22951,850,25985.01,1992-05-04
30375,55,150423.17,1992-05-04
32805,631,104732.42,1992-05-04
33443,5,42080.68,1992-05-04
39302,575,59681.97,1992-05-04
5795,259,40685.08,1992-05-05
8833,277,125487.8,1992-05-05
10470,128,261098.83,1992-05-05
39652,403,251818.6,1992-05-05
2023,826,206676.64,1992-05-06
9409,679,194782.93,1992-05-06
16257,10,89995.96,1992-05-06
6785,665,109545.81,1992-05-07
8679,398,92050.51,1992-05-07
21796,970,193906.56,1992-05-07
22272,686,230440.67,1992-05-07
27265,793,85440.09,1992-05-07
28771,1027,4229.82,1992-05-07
30819,641,10421.77,1992-05-07
33024,769,161730.59,1992-05-07
130,259,149112.2,1992-05-08
6598,77,45161.15,1992-05-08
17862,7,180120.81,1992-05-08
30784,343,129256.31,1992-05-08
35008,1043,268046.68,1992-05-08
615,458,53429.45,1992-05-09
14599,569,21536.01,1992-05-09
21510,269,110974.71,1992-05-09
30627,547,127578.53,1992-05-09
38437,305,100901.77,1992-05-09
2881,691,63724.79,1992-05-10
4992,430,230234.74,1992-05-10
9543,595,99846.06,1992-05-10
13282,572,128759.96,1992-05-10
25348,533,237403.72,1992-05-10
5121,931,224812.32,1992-05-11
7106,803,256232.35,1992-05-11
21186,673,100875.28,1992-05-11
23587,883,81980.38,1992-05-11
26756,517,163977.12,1992-05-11
14851,122,195809.4,1992-05-12
15524,479,23617.35,1992-05-12
16454,349,251628.66,1992-05-12
31393,340,160724.66,1992-05-12
4069,508,249336.63,1992-05-13
10688,2,52526.84,1992-05-13
21540,289,116835.92,1992-05-13
25733,91,235545,1992-05-13
30886,860,190827.52,1992-05-13
8130,623,49591.97,1992-05-14
11011,10,282893.08,1992-05-14
15399,979,182538.88,1992-05-14
17698,209,206847.73,1992-05-14
22081,65,142249.12,1992-05-14
28418,616,42356.17,1992-05-14
34339,142,272567.28,1992-05-14
36324,685,130582.15,1992-05-14
36644,16,237273.03,1992-05-14
5959,161,278130.63,1992-05-15
16359,530,161126.27,1992-05-15
31430,700,14912,1992-05-15
39365,583,128598.43,1992-05-15
4260,994,21381.95,1992-05-16
21090,64,178807.48,1992-05-16
8359,262,156631.68,1992-05-17
16039,350,221829.94,1992-05-17
24420,670,191185.7,1992-05-17
13572,1049,100367.4,1992-05-18
29250,386,245908.11,1992-05-18
39168,416,244652.54,1992-05-18
1701,899,73974.47,1992-05-19
1729,919,11482.62,1992-05-19
9312,644,196421.46,1992-05-19
11589,920,92494.27,1992-05-19
17447,131,54987.37,1992-05-19
27142,196,157034.06,1992-05-19
36614,97,23944.56,1992-05-19
20642,782,265245.31,1992-05-20
23681,1010,29859.75,1992-05-20
1088,1030,70400.63,1992-05-21
4867,58,12831.5,1992-05-21
7841,1042,219377.31,1992-05-21
14497,1045,112458.98,1992-05-21
22563,598,118675.39,1992-05-21
24453,356,32446.29,1992-05-21
37350,229,25874.89,1992-05-21
38817,793,174885.54,1992-05-21
17701,326,218008.38,1992-05-22
18466,785,223708.8,1992-05-22
30343,319,197431.29,1992-05-22
36551,349,18359.89,1992-05-22
37634,5,113630.89,1992-05-22
39431,292,42687.58,1992-05-22
10880,196,34250.02,1992-05-23
18757,113,118999.68,1992-05-23
28294,491,123153.48,1992-05-23
29575,592,25687.12,1992-05-23
32608,1010,249695.99,1992-05-23
38182,457,90923.34,1992-05-23
13670,158,158875.61,1992-05-24
16960,1022,111775.02,1992-05-24
25447,127,137624.96,1992-05-24
32100,751,54545.25,1992-05-24
6693,52,199193.74,1992-05-25
35842,742,98946.82,1992-05-25
37733,958,105267.86,1992-05-25
12804,514,288857.31,1992-05-26
17543,40,111145.05,1992-05-26
20451,587,193528.74,1992-05-26
30850,136,53154.53,1992-05-26
31521,1036,224435.23,1992-05-26
36929,352,37108.16,1992-05-26
11269,139,285706.48,1992-05-27
24868,169,262259.74,1992-05-27
26336,367,103258.58,1992-05-27
3650,311,290350.6,1992-05-28
3906,310,168234.39,1992-05-28
11078,911,78945.27,1992-05-28
17216,359,111403.65,1992-05-28
8291,241,38930.21,1992-05-29
21763,274,85590.95,1992-05-29
34757,281,24964.52,1992-05-29
16486,373,44706.65,1992-05-30
23363,634,226628.62,1992-05-30
25575,835,163746.58,1992-05-30
25635,734,169512.31,1992-05-30
29218,539,297012.35,1992-05-30
29221,145,53225.78,1992-05-30
32517,905,63527.6,1992-05-30
13863,980,94738.27,1992-05-31
27138,734,164151.55,1992-05-31
38914,998,84792.45,1992-05-31
1285,73,202662.45,1992-06-01
5474,376,175159.57,1992-06-01
33029,934,137235.86,1992-06-01
23911,223,166648.42,1992-06-02
27556,869,85986.31,1992-06-02
36832,649,204078.89,1992-06-02
37,604,151038.11,1992-06-03
1027,896,156318.16,1992-06-03
3172,619,162708.63,1992-06-03
3237,128,11247.03,1992-06-03
3654,40,271105.78,1992-06-03
7974,937,38711.51,1992-06-03
9024,1028,269326.23,1992-06-03
12292,517,160605.88,1992-06-03
19652,286,234235.25,1992-06-03
16070,820,74175.26,1992-06-04
16195,247,51035.58,1992-06-05
17760,662,138211.94,1992-06-05
23809,856,272871.75,1992-06-05
34754,586,7334.05,1992-06-05
36354,1031,165877.75,1992-06-06
36485,841,330572.79,1992-06-06
37315,176,55547.26,1992-06-06
15591,809,167231.73,1992-06-07
24390,496,152390.7,1992-06-07
37762,518,73119.8,1992-06-07
2054,281,211484.63,1992-06-08
9505,220,241735.43,1992-06-08
11366,604,8630.58,1992-06-08
21028,73,73207.99,1992-06-08
35428,940,106114.65,1992-06-08
39943,664,213625.46,1992-06-08
868,725,187401.98,1992-06-09
19874,607,110478.65,1992-06-09
26656,992,80049.26,1992-06-09
29856,539,135080.27,1992-06-09
35012,481,172445.58,1992-06-09
39686,271,270902.18,1992-06-09
38851,433,63903.46,1992-06-11
39938,607,138195,1992-06-11
12551,553,164405,1992-06-12
20130,265,39607.93,1992-06-12
28901,274,128923.14,1992-06-12
6535,170,233564.08,1992-06-13
10823,274,96079.23,1992-06-13
17507,820,222372.9,1992-06-13
26274,173,246412.28,1992-06-13
26853,184,151368.94,1992-06-13
28131,457,135764.6,1992-06-13
32068,80,23512.81,1992-06-13
37189,571,69793.58,1992-06-13
9573,953,158162.78,1992-06-14
15556,688,233147.22,1992-06-14
38049,988,3807.64,1992-06-14
128,518,59481.91,1992-06-15
14241,649,119050.49,1992-06-15
24004,599,321795.61,1992-06-15
28899,731,209303.33,1992-06-15
6183,238,203156.56,1992-06-16
13383,943,151080.62,1992-06-16
16897,527,231457.58,1992-06-16
19972,46,88159.84,1992-06-17
27525,232,120084.15,1992-06-17
29893,736,258336.9,1992-06-17
1346,524,221687.16,1992-06-18
30147,631,95443.88,1992-06-18
5603,493,217322,1992-06-20
6885,646,145410.82,1992-06-20
9157,418,36757.7,1992-06-20
26407,4,251557.02,1992-06-20
33222,541,206535.55,1992-06-20
33541,841,251338.21,1992-06-20
967,769,212404.33,1992-06-21
8294,7,69705.46,1992-06-21
33953,523,181284.21,1992-06-21
9120,707,138561.11,1992-06-22
25474,895,237410.96,1992-06-22
25986,145,252958.74,1992-06-23
24580,991,58710.5,1992-06-24
11044,115,83077.85,1992-06-25
12005,772,247420.66,1992-06-25
16546,148,12907.88,1992-06-25
19718,823,137527.25,1992-06-25
7873,31,243550.01,1992-06-26
10785,104,1024.48,1992-06-26
19074,1024,126631.12,1992-06-26
3265,367,51099,1992-06-27
14210,17,20707.75,1992-06-27
24386,602,184895.55,1992-06-27
3142,52,27276.82,1992-06-28
6695,119,332029.76,1992-06-28
16706,1006,298595.64,1992-06-28
17508,980,123754.57,1992-06-28
33793,1021,164631.4,1992-06-28
15175,745,85177.26,1992-06-29
24743,62,99049.5,1992-06-29
29191,863,287284.76,1992-06-29
4416,1037,99609.68,1992-06-30
4900,953,348094.62,1992-06-30
17414,118,260151.53,1992-06-30
21857,524,22622.69,1992-06-30
23685,890,327870.61,1992-06-30
26272,509,220363.3,1992-06-30
28387,314,199038.94,1992-06-30
29184,439,39924.41,1992-06-30
17826,211,142723.26,1992-07-01
22722,451,280739.88,1992-07-01
33572,73,289417.38,1992-07-02
4096,964,108239.45,1992-07-03
4103,733,55755.71,1992-07-03
15745,457,163622.01,1992-07-03
22305,791,28836.91,1992-07-03
23297,533,309533.28,1992-07-03
37313,1006,109626.4,1992-07-03
6119,766,60559.66,1992-07-04
21509,838,177370.46,1992-07-04
29761,299,158657.8,1992-07-04
29765,586,151842.24,1992-07-04
12674,410,103116.83,1992-07-05
38563,130,136677.88,1992-07-06
4741,889,213231.94,1992-07-07
5060,778,73785.5,1992-07-07
36898,604,143619.17,1992-07-07
5893,13,78250.37,1992-07-08
18304,997,274955.81,1992-07-08
21987,91,37554.39,1992-07-08
30436,949,176228.03,1992-07-08
32835,340,167687.42,1992-07-08
13923,700,129534.07,1992-07-09
2209,625,165929.6,1992-07-10
15431,553,243538.74,1992-07-10
24450,224,258416.76,1992-07-10
25569,229,154010.05,1992-07-10
28165,910,161165.51,1992-07-10
17797,137,100567.02,1992-07-11
30403,850,157311,1992-07-11
34822,829,201385.23,1992-07-11
37024,649,125631.53,1992-07-11
1793,124,108129.17,1992-07-12
14016,802,239111.05,1992-07-12
28228,574,80999.91,1992-07-12
29985,586,71092.73,1992-07-12
31141,164,164364.92,1992-07-12
31875,43,123952.77,1992-07-12
36833,341,144444.33,1992-07-12
549,770,170247.88,1992-07-13
4384,169,82060.57,1992-07-13
17735,643,199393.84,1992-07-13
21925,430,211693.89,1992-07-13
27650,181,1208.14,1992-07-13
34688,1016,103873.97,1992-07-13
5858,437,200030.09,1992-07-14
14215,985,55224.95,1992-07-14
14980,817,177358.99,1992-07-15
31940,1037,34390.55,1992-07-15
16103,550,275729.56,1992-07-16
9892,484,17852.05,1992-07-17
24613,733,225653.13,1992-07-17
30208,208,351138.33,1992-07-17
