,o_orderkey,o_custkey,o_totalprice,o_orderdate,o_freedelivery
171,23334,4907,41018.05,1992-01-09,no
172,26818,4031,268512.14,1992-01-09,yes
173,42886,4300,62079.3,1992-01-09,no
174,54307,3353,215421.74,1992-01-09,yes
175,59456,3436,141390.51,1992-01-09,no
176,67462,2000,114982.65,1992-01-09,no
177,75045,2104,121994.11,1992-01-09,no
178,75488,3814,209255.55,1992-01-09,yes
179,77318,880,144691.96,1992-01-09,no
180,79815,4117,42611.6,1992-01-09,no
181,87815,2282,122247.01,1992-01-09,no
182,95111,1067,49836.56,1992-01-09,no
183,109444,4735,67819.22,1992-01-09,no
184,124517,2914,122950.52,1992-01-09,no
185,129697,3211,31745.56,1992-01-09,no
186,135429,4585,141319.33,1992-01-09,no
187,135651,4693,96611.54,1992-01-09,no
188,142817,3118,138518.89,1992-01-09,no
189,184929,529,225216.75,1992-01-09,yes
190,186116,2393,51074.83,1992-01-09,no
191,188356,1298,59093.53,1992-01-09,no
192,3744,2186,46179.61,1992-01-10,no
193,11296,2824,301895.89,1992-01-10,yes
194,14820,3859,140528.25,1992-01-10,no
195,18180,3415,46177.47,1992-01-10,no
196,48704,665,246089.65,1992-01-10,yes
197,51424,3223,179402.93,1992-01-10,no
198,53474,397,111272.57,1992-01-10,no
199,58915,3524,152719.48,1992-01-10,no
200,62051,1232,125060.98,1992-01-10,no
201,62883,2998,144563.28,1992-01-10,no
202,84455,3466,144318.76,1992-01-10,no
203,85383,3565,98886.48,1992-01-10,no
204,90439,3916,62854.18,1992-01-10,no
205,95558,3646,65371.86,1992-01-10,no
206,99713,2890,123493.68,1992-01-10,no
207,113348,1747,231961.73,1992-01-10,yes
208,114083,251,89702.43,1992-01-10,no
209,114275,952,106960.27,1992-01-10,no
210,114883,2947,323070.72,1992-01-10,yes
211,118628,2660,58646.07,1992-01-10,no
212,119456,3037,203441.34,1992-01-10,yes
213,128422,2843,143738.24,1992-01-10,no
214,138979,1888,28476.66,1992-01-10,no
215,144741,1825,75982.62,1992-01-10,no
216,155782,1402,275002.55,1992-01-10,yes
217,191939,532,39971.43,1992-01-10,no
218,4998,1082,153011.53,1992-01-11,no
219,10053,4897,183182.89,1992-01-11,no
220,17540,2942,74958.81,1992-01-11,no
221,18275,700,203222.74,1992-01-11,yes
222,20708,3427,251159.27,1992-01-11,yes
223,34662,2581,254762.99,1992-01-11,yes
224,39648,2221,143555.49,1992-01-11,no
225,44033,4657,58131.34,1992-01-11,no
226,89954,1324,172231.8,1992-01-11,no
227,95527,1909,301072.14,1992-01-11,yes
228,98310,3626,267593.02,1992-01-11,yes
229,101286,3770,60976.16,1992-01-11,no
230,108961,1525,267053.28,1992-01-11,yes
231,154821,3811,31808.75,1992-01-11,no
232,168256,313,155945.76,1992-01-11,no
233,183616,1784,214458.06,1992-01-11,yes
234,184899,3143,159014.61,1992-01-11,no
235,22663,4562,124812.61,1992-01-12,no
236,23015,2659,116892.57,1992-01-12,no
237,39942,2420,36921.27,1992-01-12,no
238,41281,1706,52962.86,1992-01-12,no
239,44036,1397,24099.25,1992-01-12,no
240,47879,3955,35458.71,1992-01-12,no
241,51970,2443,109027.92,1992-01-12,no
242,54786,766,139898.24,1992-01-12,no
243,59969,4114,222574.28,1992-01-12,yes
244,63303,908,178426.24,1992-01-12,no
245,75362,4084,154973.33,1992-01-12,no
246,80034,4757,107557.68,1992-01-12,no
247,103298,49,49127.79,1992-01-12,no
248,111525,79,193746.85,1992-01-12,no
249,120289,2764,108212.12,1992-01-12,no
250,120710,811,111676.06,1992-01-12,no
251,129988,4528,269700.42,1992-01-12,yes
252,131905,3445,291538.18,1992-01-12,yes
253,134725,758,196986.85,1992-01-12,no
254,136833,2530,47211.76,1992-01-12,no
255,151617,445,171292.71,1992-01-12,no
256,152036,2011,209254.96,1992-01-12,yes
257,158209,955,36479.13,1992-01-12,no
258,159814,4270,278746.96,1992-01-12,yes
259,162179,1114,44788.44,1992-01-12,no
260,175398,4513,131326.4,1992-01-12,no
261,292,757,37714.9,1992-01-13,no
262,5382,1169,183408.23,1992-01-13,no
263,7783,4442,183033.4,1992-01-13,no
264,21382,1546,388409.49,1992-01-13,yes
265,24005,2044,152995.18,1992-01-13,no
266,28485,263,216554.32,1992-01-13,yes
267,38147,4702,180071.73,1992-01-13,no
268,51269,2059,174629.23,1992-01-13,no
269,67235,2443,90739.1,1992-01-13,no
270,76551,1048,120215.25,1992-01-13,no
271,85030,1879,174236.41,1992-01-13,no
272,92130,1106,249917.38,1992-01-13,yes
273,100359,3095,176825.73,1992-01-13,yes
274,100448,674,308076.52,1992-01-13,yes
275,101764,3031,224464.4,1992-01-13,yes
276,127232,4091,75582.47,1992-01-13,no
277,129639,1490,117191.18,1992-01-13,no
278,152899,1730,91967.42,1992-01-13,no
279,153668,2966,124082.74,1992-01-13,no
280,197952,353,68276.85,1992-01-13,no
281,3011,3052,51263.68,1992-01-14,no
282,6501,112,144819.45,1992-01-14,no
283,22914,1390,304596.89,1992-01-14,yes
284,48326,5098,65030.06,1992-01-14,no
285,52068,1022,155599.11,1992-01-14,no
286,56070,2012,93494.73,1992-01-14,no
287,69280,4757,110851.24,1992-01-14,yes
288,73090,1519,1551.91,1992-01-14,no
289,92228,3703,277529.29,1992-01-14,yes
290,98535,406,53573.8,1992-01-14,no
291,99776,2252,254811.52,1992-01-14,yes
292,113217,5003,83453.22,1992-01-14,no
293,121344,1531,249723.98,1992-01-14,yes
294,123776,5062,112840.87,1992-01-14,no
295,131845,4102,77958.14,1992-01-14,no
296,142145,511,162126.82,1992-01-14,no
297,156160,1226,309924.05,1992-01-14,yes
298,157859,4571,149505.03,1992-01-14,no
299,172928,3565,44171.5,1992-01-14,no
300,173476,2108,180950.23,1992-01-14,no
301,179203,758,25537.01,1992-01-14,yes
302,183328,3428,254305.17,1992-01-14,yes
303,186181,1420,77306.37,1992-01-14,no
304,10151,1999,9893.92,1992-01-15,no
305,20834,3968,42947.62,1992-01-15,no
306,32615,4577,24739.92,1992-01-15,no
307,36357,2276,193533.17,1992-01-15,no
308,49543,1333,117879.55,1992-01-15,no
309,72487,3799,212333.53,1992-01-15,yes
310,81603,3160,116789.55,1992-01-15,no
311,84645,3446,81855.0,1992-01-15,no
312,93319,3340,333254.69,1992-01-15,yes
313,95203,448,178868.42,1992-01-15,no
314,101856,2362,60691.96,1992-01-15,no
315,117735,3355,148892.93,1992-01-15,no
316,122530,1429,171339.28,1992-01-15,no
317,124676,197,50372.35,1992-01-15,no
318,142946,239,141187.21,1992-01-15,no
319,163843,3940,192666.68,1992-01-15,no
320,171938,2002,224101.7,1992-01-15,yes
321,190848,443,277604.55,1992-01-15,yes
322,191270,2965,62396.7,1992-01-15,no
323,198304,883,292169.59,1992-01-15,yes
324,2210,1081,50111.13,1992-01-16,no
325,13027,3247,175530.22,1992-01-16,no
326,16807,2141,175125.68,1992-01-16,no
327,24864,1355,194133.7,1992-01-16,no
328,25351,5089,41811.46,1992-01-16,no
329,26883,5026,39055.62,1992-01-16,no
330,56007,4828,7116.54,1992-01-16,no
331,60101,1118,204158.06,1992-01-16,yes
332,60292,4984,103044.18,1992-01-16,no
333,69796,1663,120359.3,1992-01-16,no
334,75655,3952,168372.04,1992-01-16,no
335,97602,4468,27678.83,1992-01-16,no
336,109825,2470,100557.11,1992-01-16,no
337,144454,4241,200564.05,1992-01-16,yes
338,155908,2743,65921.77,1992-01-16,no
339,156418,4888,174133.94,1992-01-16,no
340,160321,1417,111117.77,1992-01-16,no
341,176454,1247,149324.45,1992-01-16,no
342,3685,536,239215.95,1992-01-17,yes
343,9632,4856,131312.34,1992-01-17,no
344,23268,2044,124564.52,1992-01-17,yes
345,29090,3478,198228.65,1992-01-17,no
346,29573,871,71182.62,1992-01-17,no
347,29888,4420,237470.0,1992-01-17,yes
348,33410,4379,138823.76,1992-01-17,no
349,46563,955,106104.68,1992-01-17,no
350,65991,247,70812.04,1992-01-17,no
351,83782,2383,186382.48,1992-01-17,no
352,99648,1894,139676.11,1992-01-17,no
353,105088,2831,262273.94,1992-01-17,yes
354,109057,47,14973.01,1992-01-17,no
355,115170,2935,150794.52,1992-01-17,no
356,130720,3430,24996.2,1992-01-17,no
357,138624,3331,39930.7,1992-01-17,no
358,142852,5068,154438.08,1992-01-17,no
359,146178,844,119105.94,1992-01-17,no
360,146821,3377,73261.82,1992-01-17,no
361,147394,1076,50088.44,1992-01-17,no
362,29412,3209,19940.19,1992-01-18,no
363,72519,1682,166213.64,1992-01-18,yes
364,94304,653,41186.42,1992-01-18,no
365,108483,332,40315.95,1992-01-18,no
366,132262,2389,174315.99,1992-01-18,no
367,134112,3680,235514.73,1992-01-18,yes
368,134401,1777,116975.69,1992-01-18,no
369,158692,5026,67862.93,1992-01-18,no
370,172678,4166,106897.98,1992-01-18,no
371,194404,2161,238899.88,1992-01-18,yes
372,197698,4396,221250.95,1992-01-18,yes
373,15491,4996,206195.85,1992-01-19,yes
374,24290,4594,104369.72,1992-01-19,no
375,28197,4625,99090.32,1992-01-19,no
376,42753,4409,135019.12,1992-01-19,no
377,51044,4195,196344.6,1992-01-19,no
378,52837,4405,186660.59,1992-01-19,no
379,54978,2863,20343.61,1992-01-19,no
380,78723,4915,198774.69,1992-01-19,no
381,103780,3860,127719.02,1992-01-19,no
382,106438,1366,59214.05,1992-01-19,no
383,121732,3793,228582.23,1992-01-19,yes
384,128896,512,20159.26,1992-01-19,no
385,136609,3784,94519.03,1992-01-19,no
386,155360,2345,137436.41,1992-01-19,no
387,155654,4853,121088.27,1992-01-19,no
388,166692,4508,140961.14,1992-01-19,no
389,173540,91,129889.51,1992-01-19,no
390,173923,2441,31257.91,1992-01-19,no
391,180993,5077,238111.12,1992-01-19,yes
392,184544,4441,218036.8,1992-01-19,yes
393,186241,2758,194749.69,1992-01-19,no
394,196390,5053,177228.24,1992-01-19,no
395,6886,3419,192260.19,1992-01-20,no
396,7684,3892,240351.23,1992-01-20,yes
397,8034,2507,189452.3,1992-01-20,no
398,11969,1525,271182.77,1992-01-20,yes
399,33285,2498,194367.67,1992-01-20,no
400,33956,859,149318.88,1992-01-20,yes
401,38277,3317,14085.86,1992-01-20,no
402,50433,3857,293016.06,1992-01-20,yes
403,79174,130,187663.34,1992-01-20,no
404,115137,2965,280733.6,1992-01-20,yes
405,118309,652,107854.91,1992-01-20,no
406,125701,1102,158697.9,1992-01-20,no
407,149600,5044,184434.19,1992-01-20,no
408,150178,3229,168608.48,1992-01-20,no
409,161860,1622,305933.56,1992-01-20,yes
410,162530,1942,99489.26,1992-01-20,no
411,173473,2632,106855.1,1992-01-20,no
412,174785,2362,190147.02,1992-01-20,yes
413,175747,2177,163240.48,1992-01-20,no
414,183520,1198,55359.44,1992-01-20,no
415,184391,2026,90309.16,1992-01-20,no
416,188259,4000,322879.62,1992-01-20,yes
417,189765,2308,133502.42,1992-01-20,yes
418,6016,734,131551.78,1992-01-21,no
419,7973,3167,69441.37,1992-01-21,no
420,19617,209,72513.21,1992-01-21,no
421,29223,3730,230456.7,1992-01-21,yes
422,37377,4306,225777.98,1992-01-21,yes
423,38690,2432,99371.91,1992-01-21,no
424,51232,4870,281993.98,1992-01-21,yes
425,59489,1759,260374.4,1992-01-21,yes
426,73990,3232,72921.65,1992-01-21,no
427,80356,1502,181707.38,1992-01-21,no
428,95750,1588,206857.38,1992-01-21,yes
429,96039,935,153256.81,1992-01-21,yes
430,123463,3592,198097.2,1992-01-21,no
431,127590,457,252949.91,1992-01-21,yes
432,141571,4099,15349.16,1992-01-21,no
433,148899,4109,2121.45,1992-01-21,no
434,152964,4298,335065.74,1992-01-21,yes
435,164672,1825,95519.44,1992-01-21,no
436,170500,1652,155356.68,1992-01-21,no
437,173700,175,226900.03,1992-01-21,yes
438,175942,3655,179026.46,1992-01-21,no
439,179425,4546,190452.47,1992-01-21,no
440,186023,107,291355.32,1992-01-21,yes
441,11428,2135,12042.24,1992-01-22,no
442,40706,2642,153665.76,1992-01-22,no
443,55618,5092,246509.56,1992-01-22,yes
444,75170,2695,46374.75,1992-01-22,no
445,83399,4117,80161.11,1992-01-22,no
446,95553,1204,218990.23,1992-01-22,yes
447,99623,3220,63528.09,1992-01-22,no
448,105350,932,112676.1,1992-01-22,no
449,118112,613,128205.6,1992-01-22,no
450,124132,3859,246522.58,1992-01-22,yes
451,126595,3125,75057.91,1992-01-22,no
452,130275,2828,122574.66,1992-01-22,no
453,140035,1156,24108.92,1992-01-22,no
454,150790,1652,105553.35,1992-01-22,yes
455,171814,949,213730.06,1992-01-22,yes
456,173287,808,246706.4,1992-01-22,yes
457,177442,2938,159069.52,1992-01-22,no
458,183559,3610,173669.88,1992-01-22,no
459,184772,970,98549.87,1992-01-22,no
460,187397,4691,133913.66,1992-01-22,no
461,9761,1468,85344.24,1992-01-23,no
462,19715,3556,28889.89,1992-01-23,no
463,28582,4087,113474.17,1992-01-23,no
464,30629,3268,132630.7,1992-01-23,no
465,44549,2768,158403.42,1992-01-23,no
466,58178,3271,111652.99,1992-01-23,no
467,95426,3356,11206.67,1992-01-23,no
468,102051,4565,98063.64,1992-01-23,no
469,102693,842,171384.09,1992-01-23,yes
470,105028,1447,148622.35,1992-01-23,no
471,107843,821,206325.25,1992-01-23,yes
472,110883,661,131275.66,1992-01-23,no
473,116292,2875,49913.7,1992-01-23,no
474,127621,4654,91350.26,1992-01-23,no
475,140160,4630,73226.08,1992-01-23,no
476,149794,1141,173468.09,1992-01-23,no
477,160740,2771,306676.27,1992-01-23,yes
478,173890,977,58858.22,1992-01-23,no
479,184353,4903,71818.59,1992-01-23,no
480,2688,3310,246718.11,1992-01-24,yes
481,6373,1309,194649.84,1992-01-24,no
482,28902,1318,235916.01,1992-01-24,yes
483,36000,3611,18452.69,1992-01-24,no
484,41441,4825,86494.62,1992-01-24,no
485,56455,1286,159138.58,1992-01-24,yes
486,60579,139,174332.97,1992-01-24,no
487,73507,4735,141651.53,1992-01-24,yes
488,88134,34,202231.85,1992-01-24,yes
489,101027,4774,263745.12,1992-01-24,yes
490,103363,4786,190425.93,1992-01-24,no
491,106944,4483,70247.7,1992-01-24,no
492,107360,1960,135747.45,1992-01-24,no
493,116805,1793,192342.71,1992-01-24,no
494,121764,4378,66536.99,1992-01-24,no
495,124897,1696,44130.0,1992-01-24,no
496,147045,2539,262556.31,1992-01-24,yes
497,170567,5093,104628.61,1992-01-24,no
498,170593,2843,193701.47,1992-01-24,yes
499,174950,3233,113755.09,1992-01-24,no
500,177505,482,75616.31,1992-01-24,no
501,178788,3565,112473.99,1992-01-24,yes
502,190436,4027,213176.62,1992-01-24,yes
503,191809,4003,207737.65,1992-01-24,yes
504,26053,2899,144315.4,1992-01-25,no
505,44647,3175,276555.0,1992-01-25,yes
506,46243,1117,297808.92,1992-01-25,yes
507,60869,4042,192421.65,1992-01-25,no
508,84000,641,258580.85,1992-01-25,yes
509,84833,3253,212982.07,1992-01-25,yes
510,105538,4192,280842.08,1992-01-25,yes
511,116899,788,83774.17,1992-01-25,no
512,129121,3211,54921.16,1992-01-25,no
513,148423,5011,97263.41,1992-01-25,no
514,161568,4,94431.45,1992-01-25,no
515,164774,5038,39565.33,1992-01-25,no
516,172198,3643,116297.34,1992-01-25,no
517,179555,137,114497.53,1992-01-25,no
518,15073,250,79379.87,1992-01-26,no
519,15554,146,105801.01,1992-01-26,no
520,26759,139,200374.75,1992-01-26,yes
521,37892,3824,25531.64,1992-01-26,no
522,50821,1981,50388.66,1992-01-26,no
523,54177,3361,233686.63,1992-01-26,yes
524,54784,2161,65167.62,1992-01-26,no
525,78115,386,175938.23,1992-01-26,no
526,93253,4051,218445.48,1992-01-26,yes
527,97504,1129,110897.3,1992-01-26,no
528,99714,64,55638.16,1992-01-26,no
529,108609,1702,196394.57,1992-01-26,no
530,110179,4177,60548.33,1992-01-26,no
531,111138,4982,43255.65,1992-01-26,no
532,119810,701,117707.24,1992-01-26,no
533,124005,154,111047.08,1992-01-26,no
534,124615,1499,15677.6,1992-01-26,no
535,125287,1028,142493.84,1992-01-26,no
536,126535,1904,120837.39,1992-01-26,no
537,143299,1867,115046.5,1992-01-26,no
538,148288,2942,74286.74,1992-01-26,no
539,155298,1312,14807.85,1992-01-26,no
540,173987,4793,83447.12,1992-01-26,no
541,181063,4340,183303.77,1992-01-26,no
542,181697,1102,273111.59,1992-01-26,yes
543,15940,2327,113420.75,1992-01-27,no
544,28129,3367,163578.11,1992-01-27,no
545,32966,3421,255944.46,1992-01-27,yes
546,45447,1204,156967.73,1992-01-27,no
547,48003,946,236835.18,1992-01-27,yes
548,60743,3526,57982.91,1992-01-27,no
549,63779,3661,116935.91,1992-01-27,no
550,70983,4783,300929.33,1992-01-27,yes
551,73287,3206,141183.08,1992-01-27,no
552,83174,3587,139127.37,1992-01-27,no
553,87362,4633,134842.97,1992-01-27,no
554,91940,86,143300.09,1992-01-27,no
555,103524,5017,39008.28,1992-01-27,no
556,116196,700,98608.14,1992-01-27,no
557,122433,1366,80712.73,1992-01-27,no
558,132199,3236,169872.42,1992-01-27,no
559,137249,1399,133063.21,1992-01-27,no
560,145637,772,67266.74,1992-01-27,no
561,146593,800,285728.66,1992-01-27,yes
562,151747,4036,166846.76,1992-01-27,no
563,160486,1846,56288.58,1992-01-27,no
564,167332,5020,12329.58,1992-01-27,no
565,172097,292,180265.69,1992-01-27,no
566,174052,4870,59994.18,1992-01-27,no
567,179748,2500,73772.0,1992-01-27,no
568,180487,3604,86777.2,1992-01-27,no
569,186722,4331,165778.44,1992-01-27,no
570,196259,4096,101269.61,1992-01-27,no
571,4804,1213,130587.64,1992-01-28,no
572,18886,625,254334.77,1992-01-28,yes
573,31170,2158,109894.85,1992-01-28,no
574,36418,5062,83919.26,1992-01-28,no
575,41760,1574,209519.96,1992-01-28,yes
576,45984,4999,213942.61,1992-01-28,yes
577,61536,937,150884.27,1992-01-28,no
578,68869,3127,230302.04,1992-01-28,yes
579,97316,4025,48646.17,1992-01-28,no
580,99171,4822,2582.61,1992-01-28,no
581,100454,2848,221721.99,1992-01-28,yes
582,137954,4699,85463.24,1992-01-28,no
583,143015,3239,167963.44,1992-01-28,no
584,154884,3388,246971.29,1992-01-28,yes
585,160448,2366,45920.67,1992-01-28,no
586,161858,1829,86847.66,1992-01-28,no
587,165127,1204,17870.42,1992-01-28,no
588,8070,3404,317270.27,1992-01-29,yes
589,36484,1672,212574.26,1992-01-29,yes
590,44802,953,47182.34,1992-01-29,no
591,46852,4721,289658.43,1992-01-29,yes
592,47526,4105,92536.03,1992-01-29,no
593,63840,1834,13630.18,1992-01-29,no
594,67649,3973,192893.67,1992-01-29,no
595,89093,2054,74394.44,1992-01-29,no
596,109764,1477,147533.01,1992-01-29,no
597,148386,1279,104453.02,1992-01-29,no
598,166213,4528,230374.65,1992-01-29,yes
599,166977,4876,93826.84,1992-01-29,no
600,169252,2270,169963.62,1992-01-29,no
601,170118,2909,93687.85,1992-01-29,no
602,172773,2932,10343.9,1992-01-29,no
603,188480,3311,343845.23,1992-01-29,yes
604,3168,4615,75779.57,1992-01-30,no
605,15557,3274,112065.96,1992-01-30,no
606,37347,1270,161410.95,1992-01-30,yes
607,63655,118,123242.73,1992-01-30,no
608,74758,2158,283997.47,1992-01-30,yes
609,85953,3907,42489.76,1992-01-30,yes
610,89446,4585,168239.15,1992-01-30,yes
611,117537,1303,66402.65,1992-01-30,no
612,117700,1096,16153.66,1992-01-30,no
613,130278,4121,73339.32,1992-01-30,no
614,134087,785,81871.86,1992-01-30,no
615,140485,3391,239445.26,1992-01-30,yes
616,160519,545,139324.95,1992-01-30,yes
617,160960,5008,108413.49,1992-01-30,no
618,162247,1976,204653.02,1992-01-30,yes
619,164326,4529,195005.25,1992-01-30,no
620,194850,4942,175018.17,1992-01-30,no
621,198340,382,55222.73,1992-01-30,no
622,9253,2779,291186.13,1992-01-31,yes
623,9925,175,284365.03,1992-01-31,yes
624,20003,3949,179542.98,1992-01-31,no
625,30949,3650,116524.91,1992-01-31,no
626,41510,2089,33891.51,1992-01-31,no
627,44167,1097,181124.51,1992-01-31,no
628,47395,2656,108404.01,1992-01-31,no
629,47687,3175,144966.19,1992-01-31,no
